Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;Goals;Shots;SoT;SoT%;G/Sh;G/SoT;ShoDist;ShoFK;ShoPK;PKatt;PasTotCmp;PasTotAtt;PasTotCmp%;PasTotDist;PasTotPrgDist;PasShoCmp;PasShoAtt;PasShoCmp%;PasMedCmp;PasMedAtt;PasMedCmp%;PasLonCmp;PasLonAtt;PasLonCmp%;Assists;PasAss;Pas3rd;PPA;CrsPA;PasProg;PasAtt;PasLive;PasDead;PasFK;TB;Sw;PasCrs;TI;CK;CkIn;CkOut;CkStr;PasCmp;PasOff;PasBlocks;SCA;ScaPassLive;ScaPassDead;ScaDrib;ScaSh;ScaFld;ScaDef;GCA;GcaPassLive;GcaPassDead;GcaDrib;GcaSh;GcaFld;GcaDef;Tkl;TklWon;TklDef3rd;TklMid3rd;TklAtt3rd;TklDri;TklDriAtt;TklDri%;TklDriPast;Blocks;BlkSh;BlkPass;Int;Tkl+Int;Clr;Err;Touches;TouDefPen;TouDef3rd;TouMid3rd;TouAtt3rd;TouAttPen;TouLive;ToAtt;ToSuc;ToSuc%;ToTkl;ToTkl%;Carries;CarTotDist;CarPrgDist;CarProg;Car3rd;CPA;CarMis;CarDis;Rec;RecProg;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;PKwon;PKcon;OG;Recov;AerWon;AerLost;AerWon%
107;Christopher Antwi-Adjei;GHA;FWMF;Bochum;Bundesliga;29;1994;15;8;788;8.8;2;1.48;0.45;30.8;0.15;0.5;18.8;0;0;0;16.7;28.7;58.1;278.2;99.9;8.75;10.9;80.2;5.57;10;55.7;1.82;4.55;40;0.68;1.93;0.57;1.93;0.91;1.59;28.7;20.9;7.61;0.34;0.11;0.11;2.73;6.7;0.23;0;0;0;16.7;0.23;1.25;4.43;2.5;0.57;0.34;0.34;0.68;0;1.02;0.57;0.11;0.23;0;0.11;0;1.36;0.91;0.45;0.34;0.57;0.23;1.25;18.2;1.02;0.91;0;0.91;0.34;1.7;0.34;0;42.6;0.11;3.41;13.2;26.6;2.95;42.6;3.18;0.91;28.6;1.93;60.7;23.6;138.1;53.1;2.27;1.82;1.02;4.55;2.16;24.2;10.7;0;0;0;0.57;1.7;1.14;2.73;0.91;0;0;0;5.8;0.91;2.27;28.6
108;Anuar;MAR;MFFW;Valladolid;La Liga;28;1995;3;3;210;2.3;1;1.3;0.43;33.3;0.33;1;13;0;0;0;13;17.4;75;157.8;49.6;7.83;10;78.3;3.91;4.35;90;0;0;0;0;1.74;1.3;0;0;1.3;17.4;17;0.43;0;0;0;0.43;0.43;0;0;0;0;13;0;1.74;1.74;0.87;0;0.43;0;0;0.43;0.43;0;0;0.43;0;0;0;1.74;1.74;0;0.43;1.3;0;0;0;0;2.17;0.87;1.3;1.3;3.04;1.3;0;30.4;3.48;8.7;13;8.7;3.48;30.4;1.74;0.87;50;0;0;16.1;113.5;55.2;2.61;0.87;1.3;3.04;1.74;17.8;1.74;0.43;0;0;1.3;2.61;0.43;0.43;1.74;0;0;0;4.35;0.87;2.17;28.6
109;Houssem Aouar;FRA;MF;Lyon;Ligue 1;24;1998;9;6;402;4.5;1;1.33;0.67;50;0.17;0.33;14.1;0;0;0;51.1;64.7;79;817.3;182.2;27.6;31.1;88.6;16.4;21.3;77.1;4.67;7.11;65.6;0.22;0.89;6.89;0.67;0;6.44;64.7;62.9;1.78;0.67;0.22;0.67;1.11;0.22;0.67;0;0;0;51.1;0;1.56;1.78;1.56;0;0;0.22;0;0;0.44;0.44;0;0;0;0;0;1.78;0.67;0.67;0.67;0.44;0.44;0.89;50;0.44;2.22;0.22;2;1.33;3.11;0.44;0;79.1;0.44;7.78;48.7;23.1;4.44;79.1;3.33;0.89;26.7;2;60;61.6;309.8;137.1;2.67;2.67;0.89;1.33;1.78;60;5.56;0.44;0;0;0.89;0.89;0;1.11;0.67;0;0;0;4.89;1.11;0.44;71.4
110;Adil Aouchiche;FRA;MFFW;Lorient;Ligue 1;20;2002;6;0;85;0.9;0;3.33;1.11;33.3;0;0;16.3;0;0;0;44.4;58.9;75.5;890;233.3;20;21.1;94.7;14.4;20;72.2;8.89;15.6;57.1;0;1.11;5.56;2.22;0;11.1;58.9;50;8.89;1.11;0;4.44;7.78;0;5.56;1.11;3.33;0;44.4;0;1.11;3.33;2.22;0;0;1.11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.33;0;3.33;0;0;0;1.11;1.11;0;0;70;1.11;5.56;42.2;22.2;3.33;70;3.33;0;0;2.22;66.7;52.2;368.9;212.2;5.56;1.11;0;2.22;1.11;51.1;5.56;0;0;0;2.22;2.22;0;7.78;0;0;0;0;3.33;0;1.11;0
111;Dennis Appiah;FRA;DFMF;Nantes;Ligue 1;30;1992;15;9;795;8.8;0;0.57;0.11;20;0;0;19.3;0;0;0;38.5;53.2;72.4;635.2;249.5;17.3;21.7;79.6;17.5;23.2;75.5;2.5;6.02;41.5;0;0.45;3.41;0.8;0.45;4.43;53.2;44.7;8.41;0.57;0;0;2.39;7.84;0;0;0;0;38.5;0.11;0.91;1.25;0.91;0.11;0.23;0;0;0;0.11;0.11;0;0;0;0;0;2.39;1.25;1.59;0.8;0;1.14;3.07;37;1.93;1.48;0.57;0.91;1.14;3.52;1.82;0;63;4.2;18;33.2;12.8;0.45;63;2.05;0.68;33.3;1.14;55.6;42.3;249.2;133.3;1.7;1.48;0;1.36;1.14;38.5;5.8;0.11;0;0;1.82;0.11;0.11;2.39;1.25;0;0.11;0;5.68;1.82;1.82;50
112;Mauro Arambarri;URU;MF;Getafe;La Liga;27;1995;7;7;587;6.5;0;0.92;0;0;0;0;27.5;0.15;0;0;34.5;41.5;83;681.7;203.8;12.2;13.4;90.8;16.3;18.3;89.1;5.38;8.92;60.3;0.15;1.38;3.23;0.62;0.31;3.69;41.5;35.4;6.15;4.77;0;0.62;3.85;0;1.38;0.77;0.46;0.15;34.5;0;0.46;2;0.92;1.08;0;0;0;0;0.46;0.31;0.15;0;0;0;0;1.38;0.62;0.77;0.46;0.15;0.31;2;15.4;1.69;2;0.62;1.38;1.08;2.46;1.54;0;50;2.62;10.6;31.1;9.38;0.31;50;0.15;0.15;100;0;0;24.9;130.6;61.1;0.92;0.92;0;1.23;0.31;27.2;0.62;0.31;0.15;0.15;1.69;1.54;0;3.85;0.62;0;0;0;5.69;0.92;0.77;54.5
113;Charles Aránguiz;CHI;MF;Leverkusen;Bundesliga;33;1989;10;4;493;5.5;1;0.91;0.36;40;0.2;0.5;18.5;0;0;0;45.1;56.5;79.7;673.8;220.2;24.7;28;88.3;15.3;17.5;87.5;2.73;7.09;38.5;0;0.55;3.82;0.55;0;5.82;56.5;52.7;3.64;2.18;0;0;2.18;0.18;1.27;0.73;0.55;0;45.1;0.18;0.55;1.82;1.82;0;0;0;0;0;0;0;0;0;0;0;0;3.09;1.27;1.27;1.82;0;2.18;3.64;60;1.45;0.73;0;0.73;1.27;4.36;0.73;0;66.9;1.64;15.3;40.9;11.1;1.45;66.9;1.27;0.73;57.1;0.18;14.3;31.3;123.8;50.5;0.55;0.55;0;1.45;0.36;44.4;1.27;0.18;0;0;1.27;1.82;0;2.18;1.27;0;0;0;6;0.36;1.27;22.2
114;Ronald Araújo;URU;DF;Barcelona;La Liga;23;1999;10;10;859;9.5;0;0.63;0;0;0;0;12.7;0;0;0;58.1;65.5;88.7;1130.4;348.9;20;21.6;92.7;31.5;33.7;93.4;6.21;9.16;67.8;0.11;0.21;5.47;0.11;0;4.21;65.5;61.4;3.89;2.11;0.11;0.84;0.11;1.58;0;0;0;0;58.1;0.21;0.11;0.95;0.74;0;0;0.21;0;0;0.32;0.21;0;0;0.11;0;0;1.37;0.95;0.63;0.74;0;0.21;0.32;66.7;0.11;0.42;0.21;0.21;0.84;2.21;1.89;0;72.1;4.32;23.4;46.4;2.74;1.26;72.1;0.11;0.11;100;0;0;47.2;291.6;204.5;1.79;0.42;0.11;0.32;0.32;52.4;0.63;0.32;0;0;0.53;0.42;0.11;0.11;0.95;0;0;0;3.68;2.11;1.26;62.5
115;Cameron Archer;ENG;FWMF;Aston Villa;Premier League;21;2001;6;0;49;0.5;0;0;0;0;0;0;0;0;0;0;16;24;66.7;216;88;10;10;100;6;10;60;0;0;0;0;0;4;0;0;0;24;22;2;2;0;0;2;0;0;0;0;0;16;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;2;16;14;6;30;2;2;100;0;0;30;228;144;6;2;2;4;6;26;6;0;0;0;4;2;2;2;0;0;0;0;4;0;0;0
116;Taïryk Arconte;FRA;FWMF;Brest;Ligue 1;19;2003;2;0;32;0.4;0;2.5;2.5;100;0;0;9;0;0;0;2.5;2.5;100;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.5;2.5;0;0;0;0;0;0;0;0;0;0;2.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.5;0;2.5;0;0;0;0;15;0;0;0;15;2.5;15;2.5;0;0;2.5;100;12.5;95;0;0;0;0;0;0;10;2.5;0;0;0;0;0;2.5;0;0;0;0;0;0;0;2.5;0
117;Alphonse Areola;FRA;GK;West Ham;Premier League;29;1993;2;0;107;1.2;0;0;0;0;0;0;0;0;0;0;24.2;35;69;710;580;7.5;7.5;100;8.33;8.33;100;8.33;18.3;45.5;0;0;0;0;0;0;35;25;9.17;0.83;0;0;0;0;0;0;0;0;24.2;0.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35.8;34.2;35.8;0;0;0;35.8;0;0;0;0;0;21.7;76.7;35.8;0;0;0;0;0;22.5;0;0;0;0;0.83;0;0;0;0;0;0.83;0;0.83;0;0;0
118;Joe Aribo;NGA;MFFW;Southampton;Premier League;26;1996;19;11;1094;12.2;2;1.07;0.66;61.5;0.15;0.25;10.7;0;0;0;21.1;29;72.9;267.7;70.5;14.6;18.6;78.4;4.51;6.23;72.4;0.74;0.98;75;0;0.74;1.56;0.74;0;2.87;29;28.5;0.49;0;0;0;0.57;0.16;0;0;0;0;21.1;0;1.15;2.13;1.8;0;0.08;0.08;0.08;0.08;0.08;0;0;0.08;0;0;0;2.38;1.56;1.07;0.98;0.33;0.9;1.56;57.9;0.66;1.07;0.08;0.98;0.66;3.03;0.82;0;42.4;0.9;6.48;19.5;17.4;3.69;42.4;3.11;1.31;42.1;1.72;55.3;22.3;97;48;1.39;0.82;0.57;2.62;1.48;26.5;4.75;0.16;0;0;0.74;0.9;0;0.57;1.56;0;0;0;5.9;2.21;2.95;42.9
119;Adam Armstrong;ENG;FW;Southampton;Premier League;26;1997;20;12;1027;11.4;1;1.67;0.79;47.4;0.05;0.11;16.8;0;0;0;16.2;22.1;73.4;244.6;46.8;8.77;10.4;84;5.35;6.84;78.2;1.05;1.67;63.2;0.09;0.88;0.96;0.79;0.18;1.32;22.1;19.4;2.72;0;0;0.35;1.14;0.26;0;0;0;0;16.2;0;1.4;1.58;1.49;0;0;0;0.09;0;0.09;0.09;0;0;0;0;0;0.88;0.53;0.26;0.35;0.26;0;0.53;0;0.53;1.14;0.26;0.88;0.26;1.14;0.44;0;32.2;0.61;4.74;12.3;16;3.16;32.2;2.63;0.7;26.7;1.58;60;18.2;168.5;72.4;2.89;1.75;0.79;1.4;1.32;19.4;4.65;0;0;0;0.96;0.61;0.09;1.14;0.53;0;0;0;3.86;0.26;1.23;17.6
120;Stuart Armstrong;SCO;MFFW;Southampton;Premier League;30;1992;18;7;767;8.5;1;1.53;0.35;23.1;0.08;0.33;18.4;0;0;0;34.2;43.2;79.3;538.4;159.4;18.4;21.2;86.7;12.2;14.9;81.9;2.35;3.41;69;0;1.41;3.06;2.47;0.59;5.65;43.2;41.4;1.76;0;0.12;0.35;1.88;0.94;0;0;0;0;34.2;0;1.53;4.24;3.53;0;0;0.35;0.35;0;0;0;0;0;0;0;0;1.65;0.94;0.71;0.71;0.24;0.35;2.12;16.7;1.76;1.06;0;1.06;0.35;2;0.71;0;53.8;1.06;9.29;21.8;23.5;2.35;53.8;2.35;1.06;45;1.06;45;34.2;242.1;125.1;4;3.06;0.35;1.76;1.76;38.6;5.76;0.35;0;0;1.18;1.29;0.12;1.88;0.94;0;0;0;5.41;0.59;0.59;50
121;Marko Arnautovi?;AUT;FW;Bologna;Serie A;33;1989;14;14;1189;13.2;8;1.59;0.76;47.6;0.24;0.5;15.7;0;0.23;0.23;19.5;27.6;70.6;276.4;49.1;11;14.2;77.1;6.21;7.95;78.1;0.83;1.52;55;0;1.44;0.98;0.91;0.08;2.12;27.6;24.8;2.35;0;0.15;0;0.61;0.23;0;0;0;0;19.5;0.45;0.91;2.58;2.12;0;0.15;0.15;0.15;0;0.23;0.15;0;0.08;0;0;0;0.61;0.38;0.15;0.3;0.15;0.08;0.3;25;0.23;0.53;0.08;0.45;0.15;0.76;0.61;0;36.3;0.91;2.35;19;15.3;3.41;36.1;1.29;0.53;41.2;0.68;52.9;20.5;94.6;31.1;0.83;0.76;0.45;2.27;1.21;28.8;6.36;0.3;0;0;1.36;0.98;0.76;0.61;0.38;0;0;0;2.05;0.53;0.76;41.2
122;Maximilian Arnold;GER;MF;Wolfsburg;Bundesliga;28;1994;20;20;1728;19.2;4;1.04;0.36;35;0.1;0.29;32.2;0.26;0.1;0.16;38.3;51.6;74.2;879;288.4;9.9;11.5;86.4;19.3;22.9;84.5;8.33;15.3;54.6;0.1;1.56;3.33;0.73;0.1;4.79;51.6;40.9;10.1;6.15;0.21;1.09;5.78;0.26;3.28;2.34;0.89;0;38.3;0.52;0.26;3.33;1.61;1.51;0.05;0.1;0.05;0;0.36;0.21;0.1;0;0.05;0;0;1.82;0.89;0.63;0.89;0.31;0.73;1.61;45.2;0.89;1.25;0.47;0.78;0.73;2.55;2.08;0;60.7;3.75;14.8;34.1;12.6;0.42;60.6;0.57;0.26;45.5;0.21;36.4;29.6;134.8;62.2;0.57;0.63;0.05;0.63;0.73;32.1;0.73;0.21;0;0;1.04;2.24;0;5.78;0.89;0;0;0;7.55;0.99;1.04;48.7
123;Kepa Arrizabalaga;ESP;GK;Chelsea;Premier League;28;1994;14;14;1215;13.5;0;0;0;0;0;0;0;0;0;0;32.1;37.5;85.6;677.3;394.8;12.7;12.9;98.9;12.5;12.6;99.4;6.67;11.9;56.3;0;0;0.37;0;0;0;37.5;28.3;9.19;2.15;0;0.07;0;0;0;0;0;0;32.1;0;0;0.07;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0.15;0.15;0.15;0;0;0.15;0.22;66.7;0.07;0;0;0;0;0.15;0.59;0;40.4;31.6;39.9;0.44;0;0;40.4;0;0;0;0;0;23.6;112.1;67.7;0;0;0;0.07;0;21.5;0;0;0;0;0;0.3;0;0;0.15;0;0;0;1.63;0.37;0.07;83.3
124;Roberto Arroyo;ESP;MF;Valladolid;La Liga;19;2003;1;0;15;0.2;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;25;25;0;0;0;5;5;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;0;5;0;5;5;100;0;0;0;0;0;5;0;0;35;0;5;15;15;5;35;5;5;100;0;0;40;190;125;5;0;5;5;10;40;20;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0
125;Tolgay Arslan;GER;MF;Udinese;Serie A;32;1990;20;10;815;9.1;1;2.09;0.55;26.3;0.05;0.2;20.6;0.11;0;0;33.6;42.2;79.7;615.1;187.5;15.1;17.6;85.6;12.1;14.4;84;4.95;6.81;72.6;0;1.1;3.3;1.65;0.22;5.6;42.2;39;3.19;1.76;0;1.1;2.2;0.55;0.88;0.33;0.11;0;33.6;0;1.1;2.75;1.87;0.33;0.11;0.11;0.33;0;0;0;0;0;0;0;0;1.76;0.99;0.88;0.77;0.11;0.66;1.76;37.5;1.1;1.21;0;1.21;0.77;2.53;0.99;0;54.8;1.1;8.9;27.8;18.4;2.31;54.8;2.42;0.88;36.4;1.1;45.5;33.3;204.9;108.4;3.41;2.2;1.1;2.2;1.32;36.5;3.3;0.11;0;0;1.21;2.31;0;2.2;0.99;0;0;0;4.84;0.55;0.22;71.4
126;Arthur;BRA;FW;Fiorentina;Serie A;24;1998;16;6;663;7.4;3;3.24;1.22;37.5;0.08;0.22;12.2;0;0.14;0.14;13.4;18.6;71.7;172;28.6;8.78;11.1;79.3;2.7;3.24;83.3;0.68;0.95;71.4;0.14;0.95;0.27;0.68;0;1.49;18.6;17.2;1.49;0;0;0;0.14;0.14;0;0;0;0;13.4;0;0.95;2.3;1.76;0;0.14;0.27;0.14;0;0.14;0.14;0;0;0;0;0;0.81;0.27;0.14;0.14;0.54;0.54;0.81;66.7;0.27;0.81;0;0.81;0;0.81;0.41;0;32.4;0.41;1.76;10.7;20.3;6.89;32.3;1.62;0.81;50;0.68;41.7;17.6;81.5;24.3;0.68;0.27;0.54;4.59;1.08;23.9;5.68;0.14;0;0;1.22;0.95;0.14;0.14;0.27;0;0;0;1.89;2.97;3.24;47.8
127;Santiago Arzamendia;PAR;MFDF;Cádiz;La Liga;24;1998;8;3;299;3.3;0;0.91;0.3;33.3;0;0;17.5;0;0;0;24.2;37.3;65;386.7;169.4;13;16.7;78.2;7.58;11.2;67.6;2.12;4.85;43.8;0;1.52;2.42;0.91;0;2.42;37.3;31.5;5.76;0.61;0;0.3;1.82;4.85;0.3;0.3;0;0;24.2;0;2.73;1.82;1.52;0;0.3;0;0;0;0;0;0;0;0;0;0;1.52;1.21;0.91;0.3;0.3;1.21;3.64;33.3;2.42;2.42;0;2.42;0.3;1.82;2.42;0.3;50;3.03;16.1;21.8;12.7;1.52;50;1.52;0.61;40;0.91;60;22.4;88.8;49.7;1.52;0.91;0.61;1.82;0.61;22.1;4.24;0;0;0;0.91;0.3;0;1.82;1.21;0;0;0;8.18;1.52;1.82;45.5
128;Takuma Asano;JPN;FWMF;Bochum;Bundesliga;28;1994;11;8;637;7.1;1;2.68;0.85;31.6;0.05;0.17;19.1;0;0;0;14.1;19.9;70.9;187.5;54.2;9.44;11.8;79.8;3.94;5.07;77.8;0.28;0.99;28.6;0;1.27;1.13;0.7;0.28;1.27;19.9;19;0.56;0.14;0.14;0;1.27;0.28;0.14;0;0;0;14.1;0.28;0.7;3.1;2.25;0.14;0.14;0.14;0.42;0;0.56;0.42;0;0.14;0;0;0;0.7;0.42;0.14;0.28;0.28;0;0.28;0;0.28;1.13;0.14;0.99;0.42;1.13;0.14;0;30.7;0.14;2.96;11.5;16.3;3.66;30.7;1.69;0.28;16.7;0.99;58.3;18;101.1;41.1;1.69;0.85;0.7;2.68;1.97;21.3;6.06;0;0;0;0.28;1.27;0.56;1.27;0.42;0;0;0;4.37;1.13;2.25;33.3
129;Santiago Ascacíbar;ARG;MF;Cremonese;Serie A;25;1997;13;7;727;8.1;0;1.73;0.37;21.4;0;0;27.2;0;0;0;44.2;53.7;82.3;753.1;270.2;22.5;25.6;87.9;16.7;17.9;93.1;4.2;6.91;60.7;0;0.99;6.17;0.86;0.25;5.06;53.7;50.9;2.59;1.36;0;0.49;0.62;0.62;0.62;0;0.37;0;44.2;0.25;1.11;3.09;2.1;0.12;0;0.86;0;0;0.37;0.12;0;0;0.25;0;0;3.7;1.73;2.22;1.23;0.25;1.85;3.95;46.9;2.1;1.73;0.25;1.48;1.6;5.31;1.36;0;68.4;3.21;22;34.6;12.3;0.49;68.4;1.11;0.49;44.4;0.49;44.4;31.4;120.5;54.6;0.12;0.37;0;0.99;0.49;38.8;0.74;0.12;0;0;1.36;1.11;0;0.62;1.73;0;0;0;7.65;1.23;2.47;33.3
130;Sergio Asenjo;ESP;GK;Valladolid;La Liga;33;1989;5;5;450;5;0;0;0;0;0;0;0;0;0;0;24.2;36.2;66.9;743.2;533.6;3.6;3.6;100;12;12.4;96.8;8.2;19.6;41.8;0;0;0.6;0;0;0;36.2;22.8;13.4;3.6;0;0.4;0;0;0;0;0;0;24.2;0;0;0.2;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.2;0.4;38.6;31.6;38.6;0;0;0;38.6;0;0;0;0;0;17.4;61.8;30.8;0;0;0;0.2;0;16.8;0;0;0;0;0;0.4;0;0;0;0;0;0;2.6;0;0;0
131;Marco Asensio;ESP;FWMF;Real Madrid;La Liga;27;1996;15;5;500;5.6;2;3.75;1.07;28.6;0.1;0.33;22.3;0.36;0;0.18;39.8;48.9;81.4;628.8;134.1;22.5;24.5;92;11.1;12.7;87.3;4.46;7.86;56.8;0.54;2.86;3.39;1.25;0.36;3.93;48.9;43.8;5;1.96;0.54;0.54;5.54;0.54;2.5;1.43;0.36;0;39.8;0.18;1.79;4.11;2.32;1.07;0.18;0.36;0.18;0;0.71;0.36;0.18;0;0;0.18;0;1.43;0.89;0.71;0.71;0;0.54;1.07;50;0.54;0.54;0.18;0.36;0.36;1.79;0.36;0;58.9;0.71;5;25.2;28.9;3.39;58.8;1.07;0.54;50;0.54;50;37.9;213;95;2.14;2.14;0.54;1.25;0.54;45;6.79;0.18;0;0;0.89;1.07;0;5.54;0.89;0.18;0.18;0;2.5;0.36;0;100
132;Kristoffer Askildsen;NOR;MF;Lecce;Serie A;22;2001;16;6;592;6.6;0;1.36;0.45;33.3;0;0;24.4;0.15;0;0;21.4;33.5;63.8;391.7;140.3;10.2;13.8;73.6;6.97;10.3;67.6;3.18;6.36;50;0;0.91;2.73;0.3;0;3.03;33.5;28.6;4.7;1.67;0;1.06;2.88;0.45;2.27;1.06;0.91;0;21.4;0.15;1.06;2.12;1.21;0.61;0;0;0.3;0;0.15;0.15;0;0;0;0;0;1.06;0.45;0.3;0.45;0.3;0.61;1.06;57.1;0.45;1.67;0.45;1.21;1.52;2.58;0.91;0;44.2;2.27;9.09;22.7;12.9;0.91;44.2;0.76;0.3;40;0.15;20;17.3;90.3;47.4;1.36;0.3;0.15;1.82;0.45;21.7;2.27;0.45;0;0;2.12;0.91;0.15;2.88;0.45;0;0.15;0;5.61;2.58;2.27;53.1
133;Fisnik Asllani;KVX;FWMF;Hoffenheim;Bundesliga;20;2002;4;0;60;0.7;0;2.86;0;0;0;0;8.4;0;0;0;22.9;38.6;59.3;222.9;42.9;20;28.6;70;1.43;4.29;33.3;0;0;0;0;2.86;1.43;0;0;0;38.6;38.6;0;0;0;0;2.86;0;0;0;0;0;22.9;0;1.43;7.14;5.71;0;0;0;0;1.43;1.43;1.43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.43;0;1.43;2.86;2.86;0;0;51.4;0;2.86;14.3;35.7;10;51.4;1.43;0;0;1.43;100;27.1;107.1;65.7;1.43;1.43;1.43;1.43;1.43;35.7;11.4;0;0;0;1.43;1.43;1.43;2.86;0;0;0;0;2.86;0;0;0
134;Kristjan Asllani;ALB;MF;Inter;Serie A;20;2002;12;2;295;3.3;0;1.82;0;0;0;0;29;0.3;0;0;59.4;68.5;86.7;1093.9;247.3;28.5;29.4;96.9;20.6;22.1;93.2;9.09;14.2;63.8;0;0.61;3.64;0.3;0;3.03;68.5;65.2;3.03;1.52;0.3;0.61;2.42;0;1.52;0.61;0.61;0;59.4;0.3;0.91;2.12;0.91;0.61;0.3;0;0.3;0;0;0;0;0;0;0;0;2.12;1.21;0;1.52;0.61;1.21;1.21;100;0;0.61;0;0.61;0.3;2.42;0.91;0;77;1.52;17.9;44.5;14.8;0.3;77;0.91;0.3;33.3;0.61;66.7;49.7;237.3;79.7;0.61;2.42;0.3;0.91;0.61;57.9;0.61;0.61;0;0;1.52;1.21;0;2.42;1.21;0;0;0;7.27;0;0.61;0
135;Iago Aspas;ESP;FW;Celta Vigo;La Liga;35;1987;20;18;1662;18.5;9;2.27;1.03;45.2;0.19;0.42;19.1;0.22;0.05;0.11;29;37.5;77.2;445.1;102.5;16.4;19.6;83.7;8.65;11.3;76.6;2.49;3.41;73;0.16;2.81;2.54;1.24;0.11;4.43;37.5;35;2.27;0.7;0.32;0.32;1.3;0.27;0.49;0.11;0.11;0;29;0.22;0.59;4.32;3.41;0.16;0.11;0.22;0.38;0.05;0.27;0.27;0;0;0;0;0;0.11;0.05;0;0;0.11;0.05;0.49;11.1;0.43;0.43;0.05;0.38;0.27;0.38;0.65;0;45.4;0.76;2.81;21;22.1;4.22;45.2;1.78;0.54;30.3;0.86;48.5;30.9;157.7;79.7;2.92;2.27;0.97;1.68;1.68;36.7;7.68;0.22;0;0;0.59;2.16;0.49;1.3;0.05;0;0;0;3.35;0.97;1.41;40.9
136;Lorenz Assignon;TOG;DF;Rennes;Ligue 1;22;2000;6;2;194;2.2;0;1.36;0.45;33.3;0;0;14.7;0;0;0;40.5;49.1;82.4;657.3;176.8;19.1;22.7;84;20;22.7;88;1.36;3.18;42.9;0.45;0.45;2.27;0;0;3.18;49.1;40.5;8.18;1.36;0;0;0.91;6.82;0;0;0;0;40.5;0.45;0.45;1.36;1.36;0;0;0;0;0;0.45;0.45;0;0;0;0;0;2.73;0.91;1.82;0.91;0;0.91;1.82;50;0.91;1.82;0;1.82;0.91;3.64;1.36;0;63.6;3.18;18.2;37.3;9.09;1.82;63.6;1.36;0.45;33.3;0.91;66.7;39.5;208.6;101.4;1.82;0.45;0.91;1.36;0.91;34.5;3.64;0.91;0;0;0.91;0.91;0;0.91;0.91;0;0;0;5.91;0.91;1.82;33.3
137;Youcef Atal;ALG;DFMF;Nice;Ligue 1;26;1996;13;7;637;7.1;1;1.27;0.7;55.6;0.11;0.2;16.3;0;0;0;47;58.3;80.7;713;213.2;26.5;30;88.3;15.2;18.3;83.1;3.8;6.9;55.1;0;1.41;3.1;1.97;0.99;4.51;58.3;48.9;9.44;0.85;0;0.14;4.65;8.59;0;0;0;0;47;0;1.97;3.66;2.68;0;0.42;0.28;0.28;0;0.28;0.14;0;0.14;0;0;0;4.79;2.68;2.25;1.97;0.56;2.96;3.8;77.8;0.85;0.85;0;0.85;1.55;6.34;1.55;0;73;2.54;17.9;34.1;22.4;1.69;73;4.23;1.55;36.7;2.39;56.7;50.6;324.5;173.2;4.23;3.1;0.7;1.27;0.42;45.9;6.34;0.14;0;0;1.27;2.11;0.42;4.65;2.68;0;0;0;5.77;0.85;0.99;46.2
138;Pierre-Emerick Aubameyang;GAB;FW;Chelsea;Premier League;33;1989;11;4;433;4.8;1;2.08;1.04;50;0.1;0.2;15.3;0;0;0;12.7;17.9;70.9;171;40.2;8.54;11.3;75.9;3.54;4.38;81;0.42;0.63;66.7;0;0.63;0.42;0.42;0.21;0.63;17.9;17.1;0.83;0;0;0;0.63;0;0;0;0;0;12.7;0;0.83;1.25;0.83;0;0;0.42;0;0;0;0;0;0;0;0;0;0.21;0;0.21;0;0;0;0.21;0;0.21;0.21;0;0.21;0.42;0.63;0.83;0.42;25.8;1.25;3.13;11.3;12.1;3.33;25.8;1.04;0.63;60;0.42;40;15.8;99;47.7;1.46;1.25;0.63;1.88;0.83;19;4.58;0.21;0;0;0.83;0.21;0;0.63;0;0;0;0;2.08;0.21;1.88;10
139;Pierre-Emerick Aubameyang;GAB;FW;Barcelona;La Liga;33;1989;1;0;9;0.1;0;10;0;0;0;0;12.4;0;0;0;30;30;100;590;260;0;0;0;30;30;100;0;0;0;0;0;0;0;0;0;30;30;0;0;0;0;0;0;0;0;0;0;30;0;0;10;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;10;20;10;10;40;0;0;0;0;0;20;80;10;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0
