Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;Goals;Shots;SoT;SoT%;G/Sh;G/SoT;ShoDist;ShoFK;ShoPK;PKatt;PasTotCmp;PasTotAtt;PasTotCmp%;PasTotDist;PasTotPrgDist;PasShoCmp;PasShoAtt;PasShoCmp%;PasMedCmp;PasMedAtt;PasMedCmp%;PasLonCmp;PasLonAtt;PasLonCmp%;Assists;PasAss;Pas3rd;PPA;CrsPA;PasProg;PasAtt;PasLive;PasDead;PasFK;TB;PasPress;Sw;PasCrs;CK;CkIn;CkOut;CkStr;PasGround;PasLow;PasHigh;PaswLeft;PaswRight;PaswHead;TI;PaswOther;PasCmp;PasOff;PasOut;PasInt;PasBlocks;SCA;ScaPassLive;ScaPassDead;ScaDrib;ScaSh;ScaFld;ScaDef;GCA;GcaPassLive;GcaPassDead;GcaDrib;GcaSh;GcaFld;GcaDef;Tkl;TklWon;TklDef3rd;TklMid3rd;TklAtt3rd;TklDri;TklDriAtt;TklDri%;TklDriPast;Press;PresSucc;Press%;PresDef3rd;PresMid3rd;PresAtt3rd;Blocks;BlkSh;BlkShSv;BlkPass;Int;Tkl+Int;Clr;Err;Touches;TouDefPen;TouDef3rd;TouMid3rd;TouAtt3rd;TouAttPen;TouLive;DriSucc;DriAtt;DriSucc%;DriPast;DriMegs;Carries;CarTotDist;CarPrgDist;CarProg;Car3rd;CPA;CarMis;CarDis;RecTarg;Rec;Rec%;RecProg;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;PKwon;PKcon;OG;Recov;AerWon;AerLost;AerWon%
729;Issa Diop;FRA;DF;West Ham;Premier League;25;1997;13;10;963;10.7;0;0.19;0.19;100;0;0;7.6;0;0;0;37.8;43.8;86.1;717.6;249.1;14.3;15.2;93.9;18.6;20.6;90.5;4.3;7.38;58.2;0.09;0.09;1.5;0;0;1.4;43.8;42.5;1.31;0.65;0.09;4.49;0.47;0.09;0;0;0;0;33.8;2.43;7.57;8.6;31.4;2.24;0.09;0.28;37.8;0;0.84;0.37;0.09;0.19;0.19;0;0;0;0;0;0.09;0.09;0;0;0;0;0;0.84;0.28;0.37;0.47;0;0.19;0.93;20;0.75;6.73;2.62;38.9;3.83;2.8;0.09;2.15;1.4;0;0.75;1.59;2.43;4.11;0;53.1;8.6;31.2;24.3;0.93;0.47;51.9;0;0;0;0;0;28.5;180.1;87.3;1.78;0.19;0;0.09;0.09;33;32.1;97.5;0;0;0;0;0.56;0.47;0.09;0.09;0.28;0;0;0;8.97;1.78;1.87;48.7
730;Sofiane Diop;FRA;MFFW;Monaco;Ligue 1;21;2000;30;24;1948;21.6;0.28;1.71;0.56;32.4;0.16;0.5;16.4;0.09;0;0;33.6;45.4;73.9;603;170.7;16.2;19.4;83.5;11.9;15;79.9;4.4;8.1;54.3;0.19;1.67;2.64;1.85;0.32;4.86;45.4;40.7;4.68;1.44;0.37;8.47;2.27;2.31;2.59;1.11;0.88;0.14;31.1;5.97;8.33;2.78;40;1.16;0.6;0.32;33.6;0.19;0.74;2.69;1.3;3.61;2.31;0.65;0.23;0.09;0.28;0.05;0.56;0.46;0;0;0.05;0.05;0;1.67;0.93;0.6;0.79;0.28;0.6;2.22;27.1;1.62;21.5;6.06;28.2;5.28;9.35;6.85;0.65;0;0;0.65;1.53;3.19;0.14;0;58.2;0.28;5.97;28.1;29.2;4.4;53.9;2.31;3.84;60.2;2.5;0.05;41.7;231.4;122.5;6.99;2.73;1.11;3.01;1.94;54.1;42.2;77.9;8.06;0.28;0;0;1.25;2.13;0.19;2.31;0.93;0.05;0.05;0;6.85;0.83;1.48;36
731;Andy Diouf;FRA;MF;Rennes;Ligue 1;20;2002;5;0;14;0.2;0;0;0;0;0;0;0;0;0;0;35;45;77.8;595;35;15;25;60;20;20;100;0;0;0;0;5;0;0;0;0;45;40;5;5;0;0;0;0;0;0;0;0;40;0;5;45;0;0;0;0;35;0;0;5;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;10;5;5;0;5;5;5;100;0;35;5;14.3;10;15;10;5;0;0;5;0;10;5;0;70;0;30;30;15;5;70;0;0;0;0;0;50;200;100;5;0;0;10;0;35;35;100;5;0;0;0;5;5;0;0;5;0;0;0;15;0;5;0
732;Assane Dioussé;SEN;MF;Saint-Étienne;Ligue 1;24;1997;4;0;23;0.3;0;0;0;0;0;0;0;0;0;0;113.3;123.3;91.9;2166.7;356.7;33.3;36.7;90.9;56.7;56.7;100;16.7;23.3;71.4;0;0;10;0;0;0;123.3;113.3;10;10;0;20;3.33;0;0;0;0;0;103.3;10;10;103.3;13.3;0;0;0;113.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26.7;20;75;10;16.7;0;0;0;0;0;0;0;0;0;133.3;0;30;100;10;0;123.3;0;0;0;0;0;90;483.3;276.7;13.3;3.33;0;3.33;0;96.7;90;93.1;3.33;0;0;0;0;3.33;0;0;0;0;0;0;30;6.67;0;100
733;Axel Disasi;FRA;DF;Monaco;Ligue 1;24;1998;32;30;2721;30.2;0.03;0.66;0.07;10;0.05;0.5;10;0;0;0;50.9;57.6;88.2;1148.5;354.4;11.7;12.6;93.2;28.9;30.9;93.8;9.93;13.5;73.3;0;0.26;4.01;0.2;0.03;3.64;57.6;56.4;1.26;1.16;0.03;4.83;1.29;0.07;0;0;0;0;45.7;4.11;7.85;4.07;49.2;2.75;0.1;0.13;50.9;0.17;0.96;1.13;0.36;0.4;0.33;0;0;0.07;0;0;0;0;0;0;0;0;0;1.42;0.89;0.7;0.66;0.07;0.56;1.13;50;0.56;8.18;3.44;42.1;3.94;3.97;0.26;1.72;1.09;0;0.63;1.95;3.38;3.61;0;66.6;7.72;31.2;38.2;1.99;1.03;65.4;0.4;0.43;92.3;0.4;0.03;44;275.1;165.8;4.11;0.46;0.03;0.17;0.23;47.1;45.9;97.4;0.13;0.17;0;0;1.52;0.46;0.1;0.07;0.89;0;0.03;0;9.4;2.75;1.36;66.9
734;Filippo Distefano;ITA;FW;Fiorentina;Serie A;18;2003;1;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;100;45;0;0;0;0;2;2;100;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;1;0;3;0;0;0;0;0;2;0;0;0;0;0;0;1;3;2;66.7;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
735;Matías Dituro;ARG;GK;Celta Vigo;La Liga;35;1987;38;38;3420;38;0;0.03;0.03;100;0;0;19;0;0;0;24.4;38.4;63.4;893.5;608.7;2.24;2.34;95.5;9.39;9.63;97.5;12.7;26.3;48.2;0;0.03;0.47;0.03;0;0.05;38.4;28;10.4;2.95;0.03;2.79;1.16;0;0;0;0;0;14.5;1.76;22.1;1.21;30.5;0.05;0;3.39;24.4;0.16;1.34;0.45;0.13;0.05;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.08;0.03;33.3;0.08;0;0;0;0;0;0;0;0;0.03;0.05;40.7;35.8;40.3;0.34;0.05;0.03;30.3;0;0;0;0;0;21.2;96.6;56.6;0;0;0;0.03;0;19.7;19.6;99.6;0;0.03;0;0;0.03;0.08;0;0;0;0;0;0;5.18;0;0;0
736;Tiago Djaló;POR;DF;Lille;Ligue 1;22;2000;28;26;2329;25.9;0.04;0.5;0.19;38.5;0.08;0.2;11.8;0;0;0;51.4;58.5;87.8;985.2;341.4;20.4;22.2;92;23.1;25.1;92;7.22;9.34;77.3;0.04;0.15;2.51;0.15;0.04;2.36;58.5;51.4;7.1;1.2;0.08;4.94;1.12;0.23;0;0;0;0;43.7;8.07;6.72;7.03;43.5;1.39;5.91;0.12;51.4;0.04;0.81;1.31;1.12;0.77;0.58;0.08;0.04;0;0;0.08;0.12;0.08;0;0.04;0;0;0;2.55;1.51;1.7;0.77;0.08;1;1.74;57.8;0.73;10;3.75;37.3;5.6;3.63;0.81;1.74;0.42;0.04;1.31;1.2;3.75;3.44;0;69;6.49;31.7;35.5;6.56;0.81;62.2;0.58;0.81;71.4;0.58;0;42.9;221.3;119.5;3.36;0.66;0.12;0.54;0.58;45.1;43.6;96.7;0.35;0.15;0;0;1.2;0.93;0.04;0.23;1.51;0;0;0.08;8.53;1.04;1.16;47.4
737;Djené;TOG;DF;Getafe;La Liga;30;1991;35;35;3115;34.6;0;0.12;0.03;25;0;0;17.3;0;0;0;29.9;38.5;77.8;631.1;241.1;9.86;11.1;88.8;14;16.3;85.8;5.84;10;58.4;0.03;0.26;2.17;0.32;0.06;2.46;38.5;37.4;1.07;0.95;0;5.09;0.84;0.32;0;0;0;0;24.7;3.79;10;7.11;26.8;3.12;0.12;0.06;29.9;0.03;0.64;0.75;1.01;0.75;0.58;0;0.06;0.03;0.03;0.06;0.12;0.12;0;0;0;0;0;1.5;1.04;0.84;0.55;0.12;0.52;0.81;64.3;0.29;8.58;3.01;35;4.71;3.5;0.38;1.04;0.14;0;0.9;2.69;4.19;3.84;0.06;47.5;5.58;22.8;24.4;3.06;0.38;46.5;0.46;0.49;94.1;0.46;0;28.3;141.8;62.7;2.4;0.69;0;0.32;0.38;26;25.5;97.9;0.06;0.32;0.03;0;1.39;1.16;0.03;0.32;1.04;0;0.06;0;10.4;1.99;1.13;63.9
738;Moussa Djenepo;MLI;MF;Southampton;Premier League;23;1998;12;5;457;5.1;0;2.16;0.2;9.1;0;0;16.1;0;0;0;21.8;29.2;74.5;334.5;138.2;12.9;15.1;85.7;6.47;8.82;73.3;1.96;3.33;58.8;0;1.18;1.96;1.76;0.39;4.51;29.2;29;0.2;0.2;0;5.1;0.2;1.18;0;0;0;0;20.8;4.12;4.31;5.1;22.7;0.98;0;0;21.8;0;0.59;0.98;2.16;3.14;2.35;0;0.39;0.2;0.2;0;0.2;0.2;0;0;0;0;0;2.55;1.57;1.18;1.18;0.2;0.98;2.35;41.7;1.37;20.4;4.9;24;9.02;7.65;3.73;1.76;0.2;0;1.57;1.76;4.31;0.59;0;49.4;1.37;9.02;19.2;23.5;5.69;49.4;2.55;5.29;48.1;2.75;0.2;36.5;207.5;146.7;6.67;1.18;1.76;3.73;2.94;38;30.6;80.4;3.92;0.59;0;0;2.35;2.16;0;1.18;1.57;0;0;0;10.6;0.39;1.37;22.2
739;Koffi Djidji;CIV;DF;Torino;Serie A;29;1992;25;21;1735;19.3;0;0.52;0.16;30;0;0;17.6;0;0;0;36.3;42.9;84.5;727.7;206.7;12.9;14.4;89.9;16.9;18.3;92.4;5.91;9.02;65.5;0;0.1;2.23;0.36;0.1;2.49;42.9;40.3;2.59;1.71;0;4.2;0.83;0.57;0;0;0;0;31.5;3.58;7.88;1.97;36.2;2.23;0.83;0.31;36.3;0.1;1.09;0.52;0.47;0.62;0.62;0;0;0;0;0;0.1;0.1;0;0;0;0;0;2.59;1.04;1.19;1.14;0.26;0.47;0.83;56.3;0.36;15.6;5.08;32.6;6.68;7.88;1.04;1.45;0.41;0;1.04;2.49;5.08;3.73;0;54.3;3.89;22.2;28.2;7.1;0.52;51.8;0.52;0.67;76.9;0.57;0;30.3;144.2;68.3;2.33;0.83;0.1;0.57;0.31;31.1;30.2;97;0.36;0.31;0.05;0.05;1.4;0.31;0.05;0.57;1.04;0;0.1;0;9.79;2.75;2.07;57
740;Alexander Djiku;GHA;DF;Strasbourg;Ligue 1;27;1994;31;30;2694;29.9;0.03;0.5;0.23;46.7;0.07;0.14;10.5;0;0;0;45.8;54;84.8;1030.2;399.9;12.3;13.5;90.8;23.1;25.7;89.8;9.63;13.5;71.1;0;0.23;4.68;0.57;0.1;4.52;54;51.4;2.54;1.77;0.07;5.18;2.71;0.37;0;0;0;0;36.2;4.82;12.9;9.57;40.1;2.44;0.13;0.07;45.8;0.2;0.5;1.44;0.5;0.74;0.7;0;0;0;0;0.03;0.07;0.07;0;0;0;0;0;2.17;1.34;1.54;0.47;0.17;0.7;1.3;53.8;0.6;9.9;3.38;34.1;5.99;3.24;0.67;1.54;0.4;0;1.14;2.68;4.85;3.91;0.03;64.8;7.16;29.6;34.5;4.92;0.74;62.5;0.3;0.37;81.8;0.3;0;38.8;209.9;123.1;3.68;0.6;0;0.3;0.3;43;42.2;98.1;0.03;0.33;0.03;0.03;1.54;1;0.07;0.37;1.34;0;0.07;0;8.43;2.47;1;71.2
741;Bryan Djile Nokoué;CMR;DFMF;Saint-Étienne;Ligue 1;20;2002;2;0;57;0.6;0;0;0;0;0;0;0;0;0;0;36.7;48.3;75.9;725;208.3;13.3;15;88.9;18.3;20;91.7;5;10;50;0;0;1.67;0;0;1.67;48.3;33.3;15;1.67;0;5;1.67;1.67;0;0;0;0;25;16.7;6.67;1.67;31.7;1.67;13.3;0;36.7;0;0;3.33;1.67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.67;3.33;3.33;1.67;1.67;0;0;0;0;20;8.33;41.7;13.3;5;1.67;1.67;0;0;1.67;1.67;8.33;0;0;63.3;3.33;28.3;23.3;13.3;1.67;48.3;1.67;1.67;100;1.67;0;35;46.7;16.7;0;0;0;3.33;3.33;31.7;28.3;89.5;3.33;0;0;0;0;1.67;0;1.67;3.33;0;0;0;8.33;0;0;0
742;Berat Djimsiti;ALB;DF;Atalanta;Serie A;29;1993;31;25;2256;25.1;0.04;0.72;0.12;16.7;0.06;0.33;12.1;0;0;0;48.3;56.9;85;893.3;307.9;20.7;23.1;89.5;20.6;22.7;90.7;6.33;9.4;67.4;0.04;0.44;3.47;0.6;0.28;3.19;56.9;53.5;3.39;1.67;0.04;6.37;1.2;0.4;0;0;0;0;41.4;6.22;9.28;13.7;37;2.47;1.71;0.2;48.3;0.12;0.96;1.43;0.92;0.84;0.64;0;0.04;0.12;0;0.04;0.04;0.04;0;0;0;0;0;1.83;1.24;0.88;0.76;0.2;0.88;1.67;52.4;0.8;10.6;3.86;36.6;4.18;5.34;1.04;1.55;0.52;0;1.04;2.11;3.94;3.31;0.04;66.9;5.38;27.4;34.9;8.8;1.08;63.7;0.28;0.4;70;0.28;0;39.8;203.6;101.7;3.31;0.88;0.04;0.32;0.2;43.9;42.6;97;0.76;0.24;0;0;1.08;0.64;0.04;0.4;1.24;0;0.04;0.04;10.5;3.15;0.96;76.7
743;Ouparine Djoco;SEN;GK;Clermont Foot;Ligue 1;24;1998;24;23;2116;23.5;0;0;0;0;0;0;0;0;0;0;21;31.2;67.2;588.9;360.2;4.3;4.38;98.1;9.02;9.19;98.1;7.02;17;41.4;0;0;0.13;0;0;0.04;31.2;21.5;9.7;3.11;0;1.7;0.6;0;0;0;0;0;15.2;0.81;15.2;17.2;7.06;0;0;4.43;21;0;1.11;0.26;0.04;0.04;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.13;0.04;33.3;0.13;0;0;0;0;0;0;0;0;0.04;0.13;33.9;28.9;33.7;0.13;0;0;24.3;0;0;0;0;0;15.1;86.1;42;0;0;0;0.04;0;13.2;13.1;99;0;0.04;0;0;0.04;0.17;0;0;0;0;0.04;0;5.79;0;0;0
744;Naïs Djouahra;FRA;FWMF;Real Sociedad;La Liga;22;1999;7;1;219;2.4;0;2.5;0.83;33.3;0;0;18.8;0;0;0;29.2;40.8;71.4;380.8;93.3;20;22.9;87.3;8.33;10.4;80;0.42;5.83;7.1;0;1.25;2.92;0.42;0;1.25;40.8;39.2;1.67;0;0.42;7.92;1.25;4.58;0.83;0;0.42;0;29.2;5.83;5.83;4.17;33.3;1.67;0.42;0.42;29.2;0;1.25;3.33;1.25;3.33;2.5;0;0.42;0.42;0;0;0;0;0;0;0;0;0;1.67;0.83;0.42;0.83;0.42;0.83;2.92;28.6;2.08;17.5;5.42;31;6.25;6.25;5;2.08;0;0;2.08;0.83;2.5;0.83;0;57.9;1.25;7.08;27.9;29.2;2.92;56.3;1.25;3.75;33.3;1.67;0.42;44.2;255;168.3;7.92;2.92;2.5;4.17;1.67;45.4;42.1;92.7;3.75;0;0;0;1.25;1.67;0.42;4.58;0.83;0;0;0;8.33;0.83;0.42;66.7
745;Marko Dmitrovi?;SRB;GK;Sevilla;La Liga;30;1992;6;6;540;6;0;0;0;0;0;0;0;0;0;0;31.2;37.3;83.5;848;393;6.5;6.5;100;15.8;15.8;100;8.83;15;58.9;0;0;0.33;0;0;0;37.3;30.2;7.17;1.67;0;2.33;1.33;0;0;0;0;0;25.8;1.33;10.2;23;9.17;0;0;4.17;31.2;0;1.33;0.17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.17;39.7;34.8;39.5;0.17;0;0;32.5;0;0;0;0;0;21.8;56.8;23.5;0;0;0;0;0;22;22;100;0;0;0;0;0;0.17;0;0;0;0;0;0;5.5;0;0;0
746;Lewis Dobbin;ENG;FWMF;Everton;Premier League;19;2003;3;0;32;0.4;0;0;0;0;0;0;0;0;0;0;10;17.5;57.1;265;60;5;7.5;66.7;0;2.5;0;5;7.5;66.7;0;0;2.5;0;0;2.5;17.5;17.5;0;0;0;5;0;2.5;0;0;0;0;10;5;2.5;0;17.5;0;0;0;10;0;0;2.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;0;2.5;2.5;0;5;0;5;47.5;12.5;26.3;10;17.5;20;0;0;0;0;2.5;7.5;0;0;32.5;0;7.5;17.5;12.5;5;32.5;0;2.5;0;0;0;27.5;202.5;107.5;2.5;0;2.5;2.5;2.5;52.5;20;38.1;7.5;2.5;0;0;0;2.5;0;2.5;5;0;0;0;5;0;15;0
747;Matt Doherty;IRL;DF;Tottenham;Premier League;30;1992;15;9;875;9.7;0.21;1.65;0.62;37.5;0.13;0.33;13.8;0;0;0;45.4;55.5;81.8;765.8;202.1;22.8;25.6;89.1;18.1;21.3;85;3.81;6.19;61.7;0.41;1.44;2.06;1.13;0.41;3.71;55.5;48.8;6.7;0.52;0.21;7.42;1.34;2.06;0;0;0;0;38.4;10;7.11;3.09;43.1;1.65;6.19;0.1;45.4;0.1;0.52;2.99;1.75;2.37;1.96;0;0.1;0.31;0;0;0.41;0.41;0;0;0;0;0;1.86;1.24;0.93;0.82;0.1;0.72;1.24;58.3;0.52;12.4;4.33;35;5.15;5.57;1.65;2.47;0.21;0;2.27;1.75;3.61;1.55;0;66.4;3.4;19;28.9;21.6;3.81;60;0.62;0.93;66.7;0.62;0;42.3;205.3;122.9;6.7;1.24;0.93;1.13;0.82;47.5;43.8;92.2;4.12;0;0;0;1.44;0.41;0;2.06;1.24;0;0;0;7.42;1.75;0.93;65.4
748;Jeremy Doku;BEL;FWMF;Rennes;Ligue 1;20;2002;14;4;469;5.2;0.19;0.96;0.38;40;0.2;0.5;15.2;0;0;0;23.3;31.7;73.3;368.3;97.3;12.9;17.1;75.3;8.08;9.81;82.4;1.54;3.08;50;0.38;1.92;1.73;1.54;0.38;3.65;31.7;31.7;0;0;0;6.15;0.19;3.46;0;0;0;0;25.8;4.04;1.92;6.15;24;0.96;0;0;23.3;0;1.54;1.73;1.35;4.42;3.08;0;0.77;0.19;0.38;0;0.77;0.58;0;0.19;0;0;0;1.35;0.77;0.58;0.38;0.38;0.19;1.54;12.5;1.35;21.3;6.54;30.6;5.19;9.42;6.73;0.19;0;0;0.19;1.35;2.69;0;0;50.2;0.38;5.58;23.1;28.3;5.58;50.2;5.58;8.65;64.4;5.77;0.58;48.1;317.1;242.5;13.7;3.46;2.69;4.42;3.65;50.6;38.5;76;5.77;0.38;0;0;1.73;3.46;0;3.46;0.77;0;0;0;7.12;0.58;1.54;27.3
749;Kasper Dolberg;DEN;FW;Nice;Ligue 1;24;1997;26;19;1492;16.6;0.36;2.35;0.78;33.3;0.1;0.31;15.5;0;0.12;0.12;10.5;14.6;72;150.7;25.4;6.63;8.49;78;2.71;4.04;67.2;0.78;1.02;76.5;0.12;0.9;0.6;0.48;0.06;0.9;14.6;14.2;0.48;0;0;4.4;0.12;0.18;0;0;0;0;9.34;3.31;1.99;1.33;10.8;0.9;0.06;0.36;10.5;0;0.42;0.96;0.48;1.75;1.33;0;0;0.24;0.12;0.06;0.18;0.12;0;0;0.06;0;0;0.96;0.6;0.36;0.3;0.3;0.36;0.96;37.5;0.6;18.2;4.16;22.8;1.57;8.13;8.49;0.96;0.06;0;0.9;0.48;1.45;1.02;0;27.3;1.14;2.83;12.5;13.2;4.1;26.7;0.72;1.27;57.1;0.84;0.06;16.9;65.8;31.3;2.05;0.6;0.36;3.13;1.69;37.2;19.6;52.7;6.02;0;0;0;2.05;1.69;0.18;0.18;0.6;0;0;0;2.71;1.51;1.99;43.1
750;Jaume Doménech;ESP;GK;Valencia;La Liga;31;1990;4;3;343;3.8;0;0;0;0;0;0;0;0;0;0;17.4;28.2;61.7;731.8;542.1;2.11;2.11;100;3.16;3.16;100;12.1;22.9;52.9;0;0;0;0;0;0;28.2;16.1;12.1;3.68;0;2.37;0.53;0;0;0;0;0;7.11;1.32;19.7;2.11;21.8;0;0;2.11;17.4;0;0.79;0;0.26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.26;0;0;0.26;0;0;0;0;0;0;0;0;0;0.53;31.3;28.7;31.1;0.53;0;0;19.2;0;0;0;0;0;11.8;74.7;40.8;0;0;0;0;0;8.42;8.42;100;0;0.26;0;0;0;0;0;0;0;0;0;0;5.79;0;0;0
751;Brandon Domingues;FRA;MFFW;Troyes;Ligue 1;21;2000;11;1;231;2.6;0.38;1.54;0.77;50;0.25;0.5;19.3;0;0;0;26.5;35.4;75;430;132.7;11.5;14.6;78.9;11.5;15;76.9;1.92;2.31;83.3;0;2.69;1.15;1.54;0.77;3.46;35.4;33.5;1.92;0.77;0;2.31;1.15;2.69;0.38;0.38;0;0;26.2;3.85;5.38;4.23;28.8;1.54;0.77;0;26.5;0;0;1.54;1.92;3.08;2.31;0.77;0;0;0;0;0;0;0;0;0;0;0;2.31;0.77;1.15;1.15;0;0.38;0.77;50;0.38;26.9;8.08;30;5;17.3;4.62;1.54;0;0;1.54;1.15;3.46;0;0;51.2;0.77;8.46;24.2;25.4;4.62;49.2;0.38;1.54;25;0.38;0;37.3;237.3;144.2;6.92;2.69;0.38;2.69;1.92;45.8;36.9;80.7;4.62;0;0;0;1.54;3.46;0;2.69;0.77;0;0;0;6.15;0;0.77;0
752;Carlos Dominguez;ESP;DF;Celta Vigo;La Liga;21;2001;8;3;344;3.8;0;0.26;0;0;0;0;6;0;0;0;34.2;43.7;78.3;736.8;205.5;10.8;13.7;78.8;16.1;16.8;95.3;6.84;12.4;55.3;0;0;1.58;0.26;0;2.11;43.7;42.6;1.05;1.05;0.53;6.58;1.05;0;0;0;0;0;29.2;3.95;10.5;31.1;7.63;3.16;0;0;34.2;0.26;0.79;0.53;0.53;0.26;0.26;0;0;0;0;0;0;0;0;0;0;0;0;1.84;1.32;1.84;0;0;0.53;1.32;40;0.79;12.6;4.47;35.4;8.95;3.68;0;1.32;0.26;0;1.05;1.84;3.68;6.05;0;55.8;8.42;34.7;22.1;0.79;0.53;54.7;0.26;0.53;50;0.26;0;29.2;182.1;100.8;2.11;0;0;0;0.53;33.4;32.6;97.6;0;0.26;0;0;0.79;1.32;0;0;1.32;0;0.26;0;8.95;3.16;1.58;66.7
753;Mario Dominguez;ESP;FW;Valencia;La Liga;18;2004;2;0;25;0.3;0;0;0;0;0;0;0;0;0;0;6.67;10;66.7;66.7;16.7;6.67;6.67;100;0;0;0;0;0;0;0;0;0;0;0;0;10;10;0;0;0;3.33;0;0;0;0;0;0;3.33;3.33;3.33;0;6.67;0;0;0;6.67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26.7;6.67;25;0;3.33;23.3;0;0;0;0;0;0;0;0;10;0;3.33;3.33;3.33;0;10;0;0;0;0;0;3.33;0;0;0;0;0;0;0;16.7;6.67;40;3.33;0;0;0;3.33;0;0;0;0;0;0;0;3.33;3.33;6.67;33.3
754;Nicolás Domínguez;ARG;MF;Bologna;Serie A;23;1998;28;23;2015;22.4;0;0.98;0.18;18.2;0;0;15.3;0;0;0;43.8;53.4;82.1;819.2;220.7;19.3;21.6;89.3;17.9;20.6;86.6;6.03;9.06;66.5;0.13;1.21;3.88;1.34;0.13;4.46;53.4;50.9;2.5;1.74;0.13;7.86;1.79;0.4;0;0;0;0;35.1;8.44;9.82;10.3;38.9;2.9;0.13;0.13;43.8;0.13;0.76;1.88;1.25;2.46;1.96;0.04;0;0.27;0.04;0.13;0.22;0.18;0;0;0;0;0.04;3.48;2.14;1.65;1.61;0.22;1.34;3.13;42.9;1.79;25.5;7.5;29.4;10.6;11.7;3.17;2.01;0.58;0.04;1.43;2.01;5.49;1.38;0.04;65.9;3.48;17.3;40.6;11.7;1.34;63.7;0.49;1.03;47.8;0.58;0.04;38.1;186.3;88.1;3.48;1.43;0.13;1.07;0.94;45.8;41.7;91.1;1.92;0.36;0;0;1.43;1.92;0;0.4;2.14;0;0;0;11.6;1.61;1.52;51.4
755;John Donald;ESP;DF;Elche;La Liga;21;2000;2;2;180;2;0;1;0.5;50;0;0;14.5;0;0;0;39;44.5;87.6;709.5;275;13;14;92.9;21.5;23.5;91.5;3;5.5;54.5;0;0.5;5;0;0;3;44.5;42;2.5;1;0;5;0;0;0;0;0;0;35.5;1;8;6;33;3;1.5;0;39;0.5;0.5;0;0;1.5;0.5;0;0;0;0;1;0;0;0;0;0;0;0;4;3;2;1.5;0.5;1;2.5;40;1.5;17;7;41.2;9;7.5;0.5;3;1.5;0;1.5;1.5;5.5;1.5;0;56.5;4.5;25;32;4;1;54;0;0;0;0;0;33.5;166.5;110.5;7;1;0;0.5;0.5;34;32.5;95.6;0.5;0;0;0;0.5;0;0;0;3;0;0;0;9.5;1;2.5;28.6
756;Lee Dongjun;KOR;MF;Hertha BSC;Bundesliga;25;1997;4;1;118;1.3;0;2.31;0.77;33.3;0;0;12;0;0;0;10;13.8;72.2;94.6;27.7;9.23;9.23;100;0.77;3.08;25;0;0.77;0;0;0;0.77;0;0;0;13.8;13.8;0;0;0;3.08;0;1.54;0;0;0;0;6.92;3.85;3.08;4.62;8.46;0.77;0;0;10;0;0.77;0;0.77;1.54;0.77;0;0;0.77;0;0;0.77;0.77;0;0;0;0;0;1.54;0.77;0;1.54;0;0.77;1.54;50;0.77;21.5;3.85;17.9;5.38;10;6.15;2.31;0;0;2.31;1.54;3.08;0;0;36.2;0;5.38;14.6;19.2;5.38;36.2;1.54;7.69;20;2.31;0;22.3;62.3;41.5;2.31;0;0.77;3.08;2.31;33.8;20.8;61.4;6.92;0;0;0;1.54;2.31;0.77;1.54;0.77;0;0;0;8.46;0;0.77;0
